true_radius,predicted_radius,radius_error,ruler
[0.855],[0.84773403],[0.00849823],1.5684798e-05
[1.443],[1.4249789],[0.01248864],1.5684798e-05
[1.443],[1.4211817],[0.01512008],1.5684798e-05
[0.855],[0.84497124],[0.01172957],1.5684798e-05
[0.855],[0.84771603],[0.00851928],1.5684798e-05
[1.443],[1.4220473],[0.01452024],1.5684798e-05
[0.855],[0.85097057],[0.00471281],1.5684798e-05
[0.855],[0.8488999],[0.00713464],1.5684798e-05
[0.855],[0.85082835],[0.00487915],1.5684798e-05
[0.855],[0.8492879],[0.00668081],1.5684798e-05
[1.443],[1.4224017],[0.01427463],1.5684798e-05
[1.443],[1.4226217],[0.01412213],1.5684798e-05
[0.855],[0.8485057],[0.00759572],1.5684798e-05
[0.855],[0.8495163],[0.00641374],1.5684798e-05
[1.443],[1.4227028],[0.01406595],1.5684798e-05
[0.855],[0.8442585],[0.0125632],1.5684798e-05
[1.443],[1.4216857],[0.0147708],1.5684798e-05
[1.443],[1.4182143],[0.01717646],1.5684798e-05
[1.443],[1.4193499],[0.0163895],1.5684798e-05
[1.443],[1.4199594],[0.01596711],1.5684798e-05
[1.443],[1.4186028],[0.01690723],1.5684798e-05
[0.855],[0.84870017],[0.00736825],1.5684798e-05
[1.443],[1.419657],[0.01617669],1.5684798e-05
[1.443],[1.4208219],[0.01536941],1.5684798e-05
[0.855],[0.84691167],[0.00946006],1.5684798e-05
[1.443],[1.4197891],[0.01608516],1.5684798e-05
[1.443],[1.4199],[0.01600833],1.5684798e-05
[1.443],[1.4187839],[0.01678174],1.5684798e-05
[1.443],[1.4197522],[0.01611069],1.5684798e-05
[1.443],[1.4198399],[0.01604997],1.5684798e-05
[0.855],[0.8439397],[0.01293602],1.5684798e-05
[0.855],[0.8472462],[0.00906876],1.5684798e-05
[1.443],[1.4219034],[0.01461995],1.5684798e-05
[0.855],[0.8476228],[0.00862831],1.5684798e-05
[1.443],[1.4190787],[0.01657744],1.5684798e-05
[0.855],[0.8485538],[0.00753946],1.5684798e-05
[0.855],[0.8439869],[0.01288081],1.5684798e-05
[1.443],[1.4229015],[0.01392824],1.5684798e-05
[0.855],[0.8485933],[0.00749324],1.5684798e-05
[1.443],[1.4196329],[0.01619338],1.5684798e-05
[0.855],[0.8468666],[0.00951276],1.5684798e-05
[1.443],[1.4195228],[0.01626971],1.5684798e-05
[1.443],[1.4173479],[0.01777689],1.5684798e-05
[1.443],[1.4237645],[0.01333021],1.5684798e-05
[0.855],[0.8417371],[0.0155122],1.5684798e-05
[1.443],[1.4235778],[0.01345958],1.5684798e-05
[1.443],[1.4199706],[0.01595934],1.5684798e-05
[0.855],[0.8470889],[0.0092528],1.5684798e-05
[0.855],[0.847596],[0.00865968],1.5684798e-05
[1.443],[1.4206687],[0.01547556],1.5684798e-05
[1.443],[1.4225388],[0.01417963],1.5684798e-05
[1.443],[1.4226089],[0.01413105],1.5684798e-05
[1.443],[1.4200411],[0.01591052],1.5684798e-05
[1.443],[1.4196445],[0.01618537],1.5684798e-05
[1.443],[1.4194738],[0.01630367],1.5684798e-05
[0.855],[0.8486323],[0.00744765],1.5684798e-05
[1.443],[1.4208534],[0.0153476],1.5684798e-05
[1.443],[1.4209262],[0.01529712],1.5684798e-05
[0.855],[0.8455716],[0.01102742],1.5684798e-05
[0.855],[0.8494927],[0.00644128],1.5684798e-05
[1.443],[1.4188352],[0.01674622],1.5684798e-05
[1.443],[1.4195563],[0.0162465],1.5684798e-05
[1.443],[1.4216695],[0.01478203],1.5684798e-05
[1.443],[1.4187269],[0.01682123],1.5684798e-05
[1.443],[1.4219782],[0.01456807],1.5684798e-05
[1.443],[1.4202673],[0.01575372],1.5684798e-05
[0.855],[0.8520606],[0.0034379],1.5684798e-05
[0.855],[0.84888357],[0.00715374],1.5684798e-05
[0.855],[0.84683037],[0.00955515],1.5684798e-05
[0.855],[0.8474001],[0.00888876],1.5684798e-05
[0.855],[0.8458534],[0.01069781],1.5684798e-05
[0.855],[0.84745663],[0.00882267],1.5684798e-05
[1.443],[1.421494],[0.01490364],1.5684798e-05
[1.443],[1.4204613],[0.01561931],1.5684798e-05
[1.443],[1.4233236],[0.01363571],1.5684798e-05
[0.855],[0.8448652],[0.01185359],1.5684798e-05
[1.443],[1.4208965],[0.01531769],1.5684798e-05
[1.443],[1.4214388],[0.01494189],1.5684798e-05
[1.443],[1.4234018],[0.01358152],1.5684798e-05
[1.443],[1.4234712],[0.01353344],1.5684798e-05
[0.855],[0.84959036],[0.00632709],1.5684798e-05
[0.855],[0.8475377],[0.00872786],1.5684798e-05
[0.855],[0.84770435],[0.00853295],1.5684798e-05
[0.855],[0.8482618],[0.00788099],1.5684798e-05
[0.855],[0.8490115],[0.00700414],1.5684798e-05
[1.443],[1.4192867],[0.01643329],1.5684798e-05
[0.855],[0.8484966],[0.00760632],1.5684798e-05
[1.443],[1.4167087],[0.01821986],1.5684798e-05
[1.443],[1.419734],[0.01612332],1.5684798e-05
[0.855],[0.84699816],[0.00935891],1.5684798e-05
[0.855],[0.84740955],[0.00887775],1.5684798e-05
[0.855],[0.85006505],[0.00577189],1.5684798e-05
[1.443],[1.4230714],[0.01381052],1.5684798e-05
[1.443],[1.4199402],[0.01598041],1.5684798e-05
[0.855],[0.84879225],[0.00726054],1.5684798e-05
[1.443],[1.4197747],[0.01609515],1.5684798e-05
[0.855],[0.8490423],[0.0069681],1.5684798e-05
[1.443],[1.4190254],[0.01661437],1.5684798e-05
[0.855],[0.8477437],[0.00848693],1.5684798e-05
[0.855],[0.8498619],[0.00600947],1.5684798e-05
[1.443],[1.4213059],[0.015034],1.5684798e-05
[1.443],[1.422334],[0.01432156],1.5684798e-05
[0.855],[0.8436523],[0.01327218],1.5684798e-05
[0.855],[0.8513916],[0.00422036],1.5684798e-05
[1.443],[1.4222884],[0.01435311],1.5684798e-05
[1.443],[1.4253068],[0.01226137],1.5684798e-05
[1.443],[1.4198492],[0.01604352],1.5684798e-05
[1.443],[1.4226793],[0.01408223],1.5684798e-05
[0.855],[0.8461241],[0.01038118],1.5684798e-05
[1.443],[1.422214],[0.01440466],1.5684798e-05
[0.855],[0.8500357],[0.00580619],1.5684798e-05
[1.443],[1.4215586],[0.01485886],1.5684798e-05
[0.855],[0.8442798],[0.01253824],1.5684798e-05
[0.855],[0.8449447],[0.01176059],1.5684798e-05
[1.443],[1.4206597],[0.01548184],1.5684798e-05
[1.443],[1.4208554],[0.01534619],1.5684798e-05
[1.443],[1.419399],[0.01635547],1.5684798e-05
[1.443],[1.4214561],[0.01492991],1.5684798e-05
[0.855],[0.8505148],[0.00524584],1.5684798e-05
[0.855],[0.84501165],[0.0116823],1.5684798e-05
[1.443],[1.424269],[0.0129806],1.5684798e-05
[0.855],[0.84823066],[0.00791738],1.5684798e-05
[0.855],[0.8461006],[0.01040864],1.5684798e-05
[1.443],[1.4208829],[0.01532711],1.5684798e-05
[1.443],[1.4173219],[0.0177949],1.5684798e-05
[0.855],[0.8497112],[0.00618578],1.5684798e-05
[1.443],[1.4205878],[0.01553166],1.5684798e-05
[0.855],[0.84787065],[0.00833845],1.5684798e-05
[1.443],[1.4240999],[0.01309774],1.5684798e-05
[1.443],[1.421881],[0.01463548],1.5684798e-05
[0.855],[0.84252614],[0.01458933],1.5684798e-05
[0.855],[0.8462683],[0.01021254],1.5684798e-05
[0.855],[0.8452907],[0.0113559],1.5684798e-05
[1.443],[1.4208236],[0.01536825],1.5684798e-05
[1.443],[1.4186226],[0.01689352],1.5684798e-05
[1.443],[1.4218636],[0.01464754],1.5684798e-05
[1.443],[1.4214253],[0.01495122],1.5684798e-05
[1.443],[1.4240392],[0.01313979],1.5684798e-05
[1.443],[1.4203598],[0.01568961],1.5684798e-05
[0.855],[0.8482464],[0.00789897],1.5684798e-05
[1.443],[1.4221933],[0.01441904],1.5684798e-05
[1.443],[1.4206307],[0.01550192],1.5684798e-05
[0.855],[0.84752136],[0.00874696],1.5684798e-05
[1.443],[1.4217114],[0.01475296],1.5684798e-05
[0.855],[0.84784734],[0.0083657],1.5684798e-05
[1.443],[1.4209383],[0.01528878],1.5684798e-05
[1.443],[1.4201084],[0.01586384],1.5684798e-05
[0.855],[0.8473996],[0.00888939],1.5684798e-05
[0.855],[0.84616894],[0.01032875],1.5684798e-05
[1.443],[1.4191355],[0.01653812],1.5684798e-05
[0.855],[0.8439422],[0.01293309],1.5684798e-05
[0.855],[0.84652275],[0.00991494],1.5684798e-05
[1.443],[1.420553],[0.01555578],1.5684798e-05
[1.443],[1.4191008],[0.01656216],1.5684798e-05
[1.443],[1.4211118],[0.01516849],1.5684798e-05
[1.443],[1.4189625],[0.01665799],1.5684798e-05
[0.855],[0.84942883],[0.00651601],1.5684798e-05
[1.443],[1.4219718],[0.01457253],1.5684798e-05
[0.855],[0.8479547],[0.00824015],1.5684798e-05
[1.443],[1.419104],[0.01655993],1.5684798e-05
[0.855],[0.8478089],[0.00841067],1.5684798e-05
[0.855],[0.8488062],[0.00724423],1.5684798e-05
[0.855],[0.84719473],[0.00912899],1.5684798e-05
[0.855],[0.85069907],[0.00503035],1.5684798e-05
[0.855],[0.84973365],[0.0061595],1.5684798e-05
[1.443],[1.4233303],[0.01363108],1.5684798e-05
[0.855],[0.84815115],[0.00801038],1.5684798e-05
[1.443],[1.4207069],[0.01544913],1.5684798e-05
[0.855],[0.8496612],[0.00624427],1.5684798e-05
[1.443],[1.419142],[0.01653358],1.5684798e-05
[1.443],[1.4208387],[0.01535776],1.5684798e-05
[0.855],[0.8458093],[0.0107494],1.5684798e-05
[0.855],[0.8485128],[0.00758736],1.5684798e-05
[0.855],[0.8483972],[0.0077226],1.5684798e-05
[0.855],[0.8463353],[0.01013418],1.5684798e-05
[0.855],[0.8491229],[0.00687384],1.5684798e-05
[0.855],[0.8491923],[0.00679263],1.5684798e-05
[0.855],[0.8510154],[0.00466039],1.5684798e-05
[0.855],[0.8475668],[0.00869384],1.5684798e-05
[0.855],[0.8502801],[0.00552037],1.5684798e-05
[0.855],[0.8473316],[0.00896893],1.5684798e-05
[1.443],[1.424043],[0.01313714],1.5684798e-05
[0.855],[0.846973],[0.00938832],1.5684798e-05
[0.855],[0.8432036],[0.01379698],1.5684798e-05
[0.855],[0.8500179],[0.00582703],1.5684798e-05
[0.855],[0.8474212],[0.00886408],1.5684798e-05
[1.443],[1.4193611],[0.01638174],1.5684798e-05
[0.855],[0.84674805],[0.00965142],1.5684798e-05
[0.855],[0.8459803],[0.01054939],1.5684798e-05
[1.443],[1.4185839],[0.01692037],1.5684798e-05
[0.855],[0.85001487],[0.00583059],1.5684798e-05
[0.855],[0.8484084],[0.00770949],1.5684798e-05
[1.443],[1.4187769],[0.01678662],1.5684798e-05
[0.855],[0.8468018],[0.00958854],1.5684798e-05
[0.855],[0.8507118],[0.00501543],1.5684798e-05
[0.855],[0.84648067],[0.00996415],1.5684798e-05
[0.855],[0.8463817],[0.01007988],1.5684798e-05
[1.443],[1.4210148],[0.01523574],1.5684798e-05
[0.855],[0.84691435],[0.00945692],1.5684798e-05
[1.443],[1.4211172],[0.01516478],1.5684798e-05
[1.443],[1.4229002],[0.01392915],1.5684798e-05
[0.855],[0.8426545],[0.01443917],1.5684798e-05
[1.443],[1.4209547],[0.01527738],1.5684798e-05
[1.443],[1.4193525],[0.01638768],1.5684798e-05
[0.855],[0.84945726],[0.00648275],1.5684798e-05
[0.855],[0.845483],[0.01113101],1.5684798e-05
[0.855],[0.85043037],[0.00534462],1.5684798e-05
[0.855],[0.84782493],[0.00839192],1.5684798e-05
[0.855],[0.85085535],[0.00484757],1.5684798e-05
[1.443],[1.4202702],[0.01575174],1.5684798e-05
[0.855],[0.8493659],[0.00658962],1.5684798e-05
