true_radius,predicted_radius,radius_error,ruler
[1.443],[1.4199463],[0.01597619],1.5684798e-05
[1.443],[1.4221458],[0.01445192],1.5684798e-05
[0.855],[0.848731],[0.00733221],1.5684798e-05
[1.443],[1.4194955],[0.01628863],1.5684798e-05
[0.855],[0.8497352],[0.00615768],1.5684798e-05
[0.855],[0.8421994],[0.0149715],1.5684798e-05
[1.443],[1.4217856],[0.01470157],1.5684798e-05
[1.443],[1.4180917],[0.01726147],1.5684798e-05
[1.443],[1.4190071],[0.01662709],1.5684798e-05
[1.443],[1.4217324],[0.01473842],1.5684798e-05
[0.855],[0.84702855],[0.00932335],1.5684798e-05
[0.855],[0.84966063],[0.00624489],1.5684798e-05
[0.855],[0.8499863],[0.00586398],1.5684798e-05
[1.443],[1.4189413],[0.0166727],1.5684798e-05
[1.443],[1.419044],[0.01660148],1.5684798e-05
[1.443],[1.4219356],[0.01459765],1.5684798e-05
[1.443],[1.4186101],[0.01690219],1.5684798e-05
[0.855],[0.8523163],[0.00313883],1.5684798e-05
[0.855],[0.8498412],[0.00603373],1.5684798e-05
[1.443],[1.4216783],[0.01477592],1.5684798e-05
[1.443],[1.418376],[0.01706444],1.5684798e-05
[1.443],[1.42098],[0.01525986],1.5684798e-05
[1.443],[1.4206533],[0.01548622],1.5684798e-05
[1.443],[1.4202778],[0.01574645],1.5684798e-05
[1.443],[1.4249845],[0.01248476],1.5684798e-05
[1.443],[1.4198561],[0.01603873],1.5684798e-05
[1.443],[1.4210323],[0.0152236],1.5684798e-05
[0.855],[0.845992],[0.01053566],1.5684798e-05
[0.855],[0.84731585],[0.00898733],1.5684798e-05
[1.443],[1.4196419],[0.01618719],1.5684798e-05
[1.443],[1.4212825],[0.01505019],1.5684798e-05
[0.855],[0.8471282],[0.00920679],1.5684798e-05
[1.443],[1.4208107],[0.01537717],1.5684798e-05
[0.855],[0.8475824],[0.00867558],1.5684798e-05
[1.443],[1.4186385],[0.01688253],1.5684798e-05
[1.443],[1.4205977],[0.0155248],1.5684798e-05
[0.855],[0.8463316],[0.01013851],1.5684798e-05
[0.855],[0.8483165],[0.00781699],1.5684798e-05
[0.855],[0.8480385],[0.00814213],1.5684798e-05
[0.855],[0.84592116],[0.01061855],1.5684798e-05
[1.443],[1.4205923],[0.01552852],1.5684798e-05
[1.443],[1.4208589],[0.0153438],1.5684798e-05
[1.443],[1.419612],[0.01620784],1.5684798e-05
[0.855],[0.8434606],[0.01349637],1.5684798e-05
[0.855],[0.84570485],[0.01087154],1.5684798e-05
[1.443],[1.4205574],[0.01555272],1.5684798e-05
[0.855],[0.8473281],[0.00897297],1.5684798e-05
[0.855],[0.8482809],[0.00785861],1.5684798e-05
[0.855],[0.8484895],[0.00761462],1.5684798e-05
[0.855],[0.84651417],[0.00992498],1.5684798e-05
[1.443],[1.418771],[0.01679067],1.5684798e-05
[0.855],[0.84486294],[0.01185623],1.5684798e-05
[1.443],[1.4195884],[0.01622419],1.5684798e-05
[1.443],[1.4214604],[0.01492694],1.5684798e-05
[1.443],[1.4225595],[0.01416525],1.5684798e-05
[0.855],[0.84821504],[0.00793564],1.5684798e-05
[1.443],[1.4210851],[0.015187],1.5684798e-05
[0.855],[0.84481114],[0.01191682],1.5684798e-05
[1.443],[1.4207826],[0.01539667],1.5684798e-05
[0.855],[0.84599334],[0.01053413],1.5684798e-05
[1.443],[1.4204669],[0.01561543],1.5684798e-05
[1.443],[1.4193393],[0.01639685],1.5684798e-05
[0.855],[0.8461392],[0.01036354],1.5684798e-05
[0.855],[0.8493592],[0.00659743],1.5684798e-05
[0.855],[0.8480856],[0.00808706],1.5684798e-05
[1.443],[1.4246103],[0.01274408],1.5684798e-05
[1.443],[1.4195225],[0.01626988],1.5684798e-05
[1.443],[1.4236829],[0.01338672],1.5684798e-05
[1.443],[1.4200428],[0.01590936],1.5684798e-05
[1.443],[1.4176466],[0.01756986],1.5684798e-05
[1.443],[1.420268],[0.01575322],1.5684798e-05
[0.855],[0.84494233],[0.01176338],1.5684798e-05
[0.855],[0.84497947],[0.01171995],1.5684798e-05
[0.855],[0.8464172],[0.0100384],1.5684798e-05
[0.855],[0.8489222],[0.00710857],1.5684798e-05
[1.443],[1.4235691],[0.01346561],1.5684798e-05
[1.443],[1.4219449],[0.0145912],1.5684798e-05
[1.443],[1.4202385],[0.01577371],1.5684798e-05
[1.443],[1.4195582],[0.01624518],1.5684798e-05
[1.443],[1.4196069],[0.01621139],1.5684798e-05
[0.855],[0.843143],[0.01386787],1.5684798e-05
[0.855],[0.84872586],[0.0073382],1.5684798e-05
[0.855],[0.84481794],[0.01190887],1.5684798e-05
[1.443],[1.4183428],[0.01708741],1.5684798e-05
[0.855],[0.8458536],[0.01069753],1.5684798e-05
[1.443],[1.4179429],[0.01736457],1.5684798e-05
[1.443],[1.4200609],[0.0158968],1.5684798e-05
[1.443],[1.4227624],[0.01402465],1.5684798e-05
[1.443],[1.4191712],[0.01651334],1.5684798e-05
[0.855],[0.8493213],[0.00664177],1.5684798e-05
[1.443],[1.4211175],[0.01516453],1.5684798e-05
[1.443],[1.420106],[0.01586549],1.5684798e-05
[1.443],[1.4236472],[0.0134115],1.5684798e-05
[1.443],[1.4213738],[0.01498691],1.5684798e-05
[0.855],[0.84306556],[0.01395843],1.5684798e-05
[1.443],[1.4232435],[0.01369122],1.5684798e-05
[1.443],[1.4187666],[0.01679372],1.5684798e-05
[0.855],[0.849792],[0.00609125],1.5684798e-05
[0.855],[0.8465443],[0.0098897],1.5684798e-05
[0.855],[0.8485871],[0.00750049],1.5684798e-05
[1.443],[1.4220691],[0.01450512],1.5684798e-05
[1.443],[1.4209038],[0.01531265],1.5684798e-05
[1.443],[1.4205925],[0.01552835],1.5684798e-05
[0.855],[0.84527284],[0.01137682],1.5684798e-05
[0.855],[0.8495445],[0.00638069],1.5684798e-05
[1.443],[1.4202086],[0.01579445],1.5684798e-05
[1.443],[1.4197593],[0.01610581],1.5684798e-05
[1.443],[1.4202034],[0.015798],1.5684798e-05
[0.855],[0.8462802],[0.0101986],1.5684798e-05
[0.855],[0.8452085],[0.01145204],1.5684798e-05
[0.855],[0.8465411],[0.00989346],1.5684798e-05
[0.855],[0.84720886],[0.00911247],1.5684798e-05
[1.443],[1.4177573],[0.0174932],1.5684798e-05
[0.855],[0.8431808],[0.01382368],1.5684798e-05
[1.443],[1.4206415],[0.0154944],1.5684798e-05
[1.443],[1.4199729],[0.01595777],1.5684798e-05
[1.443],[1.4228535],[0.01396153],1.5684798e-05
[1.443],[1.4208062],[0.01538031],1.5684798e-05
[0.855],[0.84680074],[0.0095898],1.5684798e-05
[1.443],[1.4214575],[0.01492892],1.5684798e-05
[1.443],[1.421069],[0.01519815],1.5684798e-05
[0.855],[0.8482037],[0.00794889],1.5684798e-05
[0.855],[0.85323447],[0.00206497],1.5684798e-05
[0.855],[0.84982127],[0.00605702],1.5684798e-05
[0.855],[0.84474915],[0.01198932],1.5684798e-05
[1.443],[1.4204551],[0.0156236],1.5684798e-05
[1.443],[1.4198529],[0.01604096],1.5684798e-05
[0.855],[0.8480246],[0.00815838],1.5684798e-05
[1.443],[1.4192132],[0.01648426],1.5684798e-05
[0.855],[0.84670347],[0.00970357],1.5684798e-05
[1.443],[1.4199921],[0.01594447],1.5684798e-05
[0.855],[0.84657925],[0.00984885],1.5684798e-05
[1.443],[1.4171784],[0.01789436],1.5684798e-05
[0.855],[0.8483259],[0.00780598],1.5684798e-05
[1.443],[1.4182751],[0.01713433],1.5684798e-05
[1.443],[1.4205377],[0.01556635],1.5684798e-05
[0.855],[0.84689206],[0.00948299],1.5684798e-05
[0.855],[0.8450596],[0.01162625],1.5684798e-05
[1.443],[1.4207397],[0.01542641],1.5684798e-05
[0.855],[0.8517869],[0.00375802],1.5684798e-05
[1.443],[1.4201891],[0.01580791],1.5684798e-05
[0.855],[0.84596],[0.0105731],1.5684798e-05
[1.443],[1.4242128],[0.0130195],1.5684798e-05
[0.855],[0.8465959],[0.0098294],1.5684798e-05
[1.443],[1.4209368],[0.01528977],1.5684798e-05
[1.443],[1.4207237],[0.01543748],1.5684798e-05
[0.855],[0.84479076],[0.01194066],1.5684798e-05
[0.855],[0.84795845],[0.00823576],1.5684798e-05
[0.855],[0.84967136],[0.00623235],1.5684798e-05
[0.855],[0.8483593],[0.00776694],1.5684798e-05
[1.443],[1.4183702],[0.01706841],1.5684798e-05
[0.855],[0.84356606],[0.01337305],1.5684798e-05
[0.855],[0.84961087],[0.0063031],1.5684798e-05
[0.855],[0.8488752],[0.0071635],1.5684798e-05
[1.443],[1.4231262],[0.01377251],1.5684798e-05
[1.443],[1.4203368],[0.01570556],1.5684798e-05
[0.855],[0.84390295],[0.01297903],1.5684798e-05
[0.855],[0.8473193],[0.00898329],1.5684798e-05
[0.855],[0.8483233],[0.00780904],1.5684798e-05
[0.855],[0.84547424],[0.01114126],1.5684798e-05
[1.443],[1.4186939],[0.01684412],1.5684798e-05
[0.855],[0.8502603],[0.00554351],1.5684798e-05
[1.443],[1.4201763],[0.01581683],1.5684798e-05
[0.855],[0.84981495],[0.00606441],1.5684798e-05
[0.855],[0.8478768],[0.00833127],1.5684798e-05
[1.443],[1.4190192],[0.01661867],1.5684798e-05
[0.855],[0.85249865],[0.00292558],1.5684798e-05
[0.855],[0.8496925],[0.0062076],1.5684798e-05
[1.443],[1.4201801],[0.01581419],1.5684798e-05
[0.855],[0.84796965],[0.00822265],1.5684798e-05
[1.443],[1.4220717],[0.0145033],1.5684798e-05
[1.443],[1.4211853],[0.01511761],1.5684798e-05
[1.443],[1.4191024],[0.01656101],1.5684798e-05
[0.855],[0.84877163],[0.00728466],1.5684798e-05
[0.855],[0.84418255],[0.01265201],1.5684798e-05
[1.443],[1.4174969],[0.01767362],1.5684798e-05
[0.855],[0.84849936],[0.00760311],1.5684798e-05
[1.443],[1.4199975],[0.01594075],1.5684798e-05
[1.443],[1.419342],[0.01639495],1.5684798e-05
[0.855],[0.8512617],[0.00437233],1.5684798e-05
[1.443],[1.4242136],[0.01301893],1.5684798e-05
[0.855],[0.84948677],[0.00644825],1.5684798e-05
[1.443],[1.4219403],[0.01459434],1.5684798e-05
[0.855],[0.84800035],[0.00818675],1.5684798e-05
[0.855],[0.8483836],[0.0077385],1.5684798e-05
[0.855],[0.846387],[0.01007367],1.5684798e-05
[1.443],[1.4231482],[0.01375731],1.5684798e-05
[1.443],[1.4189959],[0.01663486],1.5684798e-05
[0.855],[0.84652156],[0.00991633],1.5684798e-05
[1.443],[1.4193538],[0.01638678],1.5684798e-05
[1.443],[1.4246181],[0.01273862],1.5684798e-05
[1.443],[1.4196062],[0.01621189],1.5684798e-05
[1.443],[1.4232638],[0.01367718],1.5684798e-05
[1.443],[1.4239752],[0.01318415],1.5684798e-05
[0.855],[0.84319705],[0.01380464],1.5684798e-05
[1.443],[1.4227767],[0.01401473],1.5684798e-05
[1.443],[1.4198768],[0.01602436],1.5684798e-05
[0.855],[0.84708756],[0.00925434],1.5684798e-05
[0.855],[0.8471309],[0.00920365],1.5684798e-05
[0.855],[0.84540004],[0.01122805],1.5684798e-05
[1.443],[1.4206432],[0.01549324],1.5684798e-05
[0.855],[0.849275],[0.00669594],1.5684798e-05
[0.855],[0.8495224],[0.00640656],1.5684798e-05
[0.855],[0.8479474],[0.00824866],1.5684798e-05
[0.855],[0.8490219],[0.00699194],1.5684798e-05
[1.443],[1.4188447],[0.01673961],1.5684798e-05
[1.443],[1.4215295],[0.01487902],1.5684798e-05
[1.443],[1.4208442],[0.01535396],1.5684798e-05
[0.855],[0.8470866],[0.00925545],1.5684798e-05
[1.443],[1.418776],[0.0167872],1.5684798e-05
[1.443],[1.4202274],[0.01578139],1.5684798e-05
[0.855],[0.8495117],[0.00641911],1.5684798e-05
[1.443],[1.4234543],[0.01354517],1.5684798e-05
[1.443],[1.4224523],[0.01423952],1.5684798e-05
[0.855],[0.84633136],[0.01013878],1.5684798e-05
[0.855],[0.84976023],[0.0061284],1.5684798e-05
[1.443],[1.4211271],[0.01515792],1.5684798e-05
[0.855],[0.8513816],[0.00423207],1.5684798e-05
[1.443],[1.4178249],[0.01744636],1.5684798e-05
[0.855],[0.84824216],[0.00790392],1.5684798e-05
[1.443],[1.418627],[0.01689046],1.5684798e-05
[0.855],[0.84921044],[0.00677144],1.5684798e-05
[1.443],[1.418424],[0.01703115],1.5684798e-05
[1.443],[1.4214104],[0.01496155],1.5684798e-05
[1.443],[1.419287],[0.01643312],1.5684798e-05
[0.855],[0.8474029],[0.00888555],1.5684798e-05
[0.855],[0.8449058],[0.01180611],1.5684798e-05
[0.855],[0.8465583],[0.00987339],1.5684798e-05
[1.443],[1.420846],[0.01535272],1.5684798e-05
[0.855],[0.8498412],[0.00603373],1.5684798e-05
[0.855],[0.8478785],[0.00832924],1.5684798e-05
[0.855],[0.84661275],[0.00980967],1.5684798e-05
[0.855],[0.84979755],[0.00608476],1.5684798e-05
[0.855],[0.8451982],[0.0114641],1.5684798e-05
[1.443],[1.4185071],[0.01697357],1.5684798e-05
[0.855],[0.846991],[0.00936727],1.5684798e-05
[0.855],[0.8410345],[0.01633397],1.5684798e-05
[0.855],[0.84450537],[0.01227444],1.5684798e-05
[1.443],[1.4202716],[0.01575075],1.5684798e-05
[1.443],[1.4218055],[0.01468777],1.5684798e-05
[1.443],[1.4198925],[0.01601345],1.5684798e-05
[1.443],[1.4241495],[0.01306337],1.5684798e-05
[0.855],[0.84925544],[0.0067188],1.5684798e-05
[1.443],[1.4212861],[0.01504772],1.5684798e-05
[1.443],[1.4235847],[0.01345479],1.5684798e-05
[1.443],[1.422559],[0.01416558],1.5684798e-05
[0.855],[0.84696287],[0.00940017],1.5684798e-05
[1.443],[1.4196984],[0.01614803],1.5684798e-05
[1.443],[1.4180683],[0.01727767],1.5684798e-05
[0.855],[0.84840125],[0.00771786],1.5684798e-05
[0.855],[0.84740275],[0.00888569],1.5684798e-05
[0.855],[0.84486866],[0.01184954],1.5684798e-05
[0.855],[0.84446084],[0.01232652],1.5684798e-05
[0.855],[0.8474278],[0.00885641],1.5684798e-05
[0.855],[0.84999317],[0.00585596],1.5684798e-05
[1.443],[1.4199855],[0.01594901],1.5684798e-05
[1.443],[1.4175687],[0.01762389],1.5684798e-05
[1.443],[1.4246045],[0.01274804],1.5684798e-05
[1.443],[1.4198585],[0.01603708],1.5684798e-05
[1.443],[1.4197359],[0.016122],1.5684798e-05
[0.855],[0.84599286],[0.01053469],1.5684798e-05
[0.855],[0.8476544],[0.00859136],1.5684798e-05
[1.443],[1.4188275],[0.01675151],1.5684798e-05
[0.855],[0.84917367],[0.00681445],1.5684798e-05
[1.443],[1.4211497],[0.01514222],1.5684798e-05
[1.443],[1.4212906],[0.01504458],1.5684798e-05
[1.443],[1.4209359],[0.01529043],1.5684798e-05
[0.855],[0.8485196],[0.00757941],1.5684798e-05
[1.443],[1.418384],[0.01705891],1.5684798e-05
[1.443],[1.4193459],[0.01639231],1.5684798e-05
[1.443],[1.4208683],[0.01533727],1.5684798e-05
[0.855],[0.8509968],[0.00468214],1.5684798e-05
[0.855],[0.8453981],[0.01123028],1.5684798e-05
[1.443],[1.4195513],[0.01624997],1.5684798e-05
[1.443],[1.4227333],[0.0140448],1.5684798e-05
[0.855],[0.84953696],[0.00638955],1.5684798e-05
[0.855],[0.84709543],[0.00924513],1.5684798e-05
[1.443],[1.4198835],[0.01601973],1.5684798e-05
[1.443],[1.4211111],[0.01516899],1.5684798e-05
[0.855],[0.847007],[0.00934859],1.5684798e-05
[1.443],[1.4212195],[0.0150939],1.5684798e-05
[0.855],[0.8521585],[0.00332343],1.5684798e-05
[1.443],[1.4195616],[0.01624278],1.5684798e-05
[0.855],[0.84690356],[0.00946954],1.5684798e-05
[0.855],[0.84664875],[0.00976756],1.5684798e-05
[1.443],[1.4186693],[0.01686114],1.5684798e-05
[1.443],[1.4214543],[0.01493115],1.5684798e-05
[1.443],[1.4207473],[0.01542112],1.5684798e-05
[0.855],[0.8452097],[0.01145064],1.5684798e-05
[1.443],[1.4192855],[0.01643411],1.5684798e-05
[1.443],[1.4222723],[0.01436427],1.5684798e-05
[1.443],[1.4221753],[0.01443151],1.5684798e-05
[0.855],[0.8473718],[0.00892187],1.5684798e-05
[0.855],[0.84861976],[0.00746229],1.5684798e-05
[0.855],[0.8489524],[0.00707322],1.5684798e-05
[1.443],[1.4221265],[0.0144653],1.5684798e-05
[0.855],[0.8493235],[0.00663919],1.5684798e-05
[1.443],[1.4197565],[0.01610771],1.5684798e-05
[1.443],[1.419836],[0.01605261],1.5684798e-05
[1.443],[1.4185712],[0.01692912],1.5684798e-05
[0.855],[0.848973],[0.00704917],1.5684798e-05
[1.443],[1.4199724],[0.0159581],1.5684798e-05
[1.443],[1.4186939],[0.01684412],1.5684798e-05
[1.443],[1.4208124],[0.01537602],1.5684798e-05
[0.855],[0.8480664],[0.00810951],1.5684798e-05
[1.443],[1.4216177],[0.01481789],1.5684798e-05
[0.855],[0.8462729],[0.01020717],1.5684798e-05
[0.855],[0.8466582],[0.00975655],1.5684798e-05
[0.855],[0.8466777],[0.00973368],1.5684798e-05
[0.855],[0.8496616],[0.00624378],1.5684798e-05
[1.443],[1.4218698],[0.01464325],1.5684798e-05
[1.443],[1.4210893],[0.01518411],1.5684798e-05
[0.855],[0.8478772],[0.00833078],1.5684798e-05
[0.855],[0.84783465],[0.00838055],1.5684798e-05
[1.443],[1.4236243],[0.01342736],1.5684798e-05
[1.443],[1.4213529],[0.01500145],1.5684798e-05
[1.443],[1.423643],[0.01341439],1.5684798e-05
[0.855],[0.85059816],[0.00514838],1.5684798e-05
[0.855],[0.845511],[0.01109825],1.5684798e-05
[1.443],[1.4176836],[0.01754425],1.5684798e-05
[1.443],[1.4244895],[0.01282776],1.5684798e-05
[1.443],[1.4177196],[0.0175193],1.5684798e-05
[0.855],[0.8466252],[0.0097951],1.5684798e-05
[0.855],[0.8466452],[0.00977175],1.5684798e-05
[1.443],[1.423938],[0.01320993],1.5684798e-05
[0.855],[0.8465809],[0.0098469],1.5684798e-05
[0.855],[0.8489004],[0.00713408],1.5684798e-05
[0.855],[0.84420115],[0.01263026],1.5684798e-05
[1.443],[1.4209309],[0.0152939],1.5684798e-05
[0.855],[0.8441573],[0.01268157],1.5684798e-05
[1.443],[1.4216471],[0.01479757],1.5684798e-05
[1.443],[1.422583],[0.01414898],1.5684798e-05
[0.855],[0.8489782],[0.00704304],1.5684798e-05
[0.855],[0.8464855],[0.00995851],1.5684798e-05
[0.855],[0.8502732],[0.00552845],1.5684798e-05
[0.855],[0.8478817],[0.00832555],1.5684798e-05
[0.855],[0.8480368],[0.00814409],1.5684798e-05
[1.443],[1.4198177],[0.01606533],1.5684798e-05
[1.443],[1.4187042],[0.01683701],1.5684798e-05
[1.443],[1.4219887],[0.0145608],1.5684798e-05
[1.443],[1.4191422],[0.01653341],1.5684798e-05
[1.443],[1.4182892],[0.01712458],1.5684798e-05
[1.443],[1.4227782],[0.01401366],1.5684798e-05
[1.443],[1.4232547],[0.01368346],1.5684798e-05
[0.855],[0.8505214],[0.00523817],1.5684798e-05
[1.443],[1.4209003],[0.01531505],1.5684798e-05
[1.443],[1.4213682],[0.0149908],1.5684798e-05
[0.855],[0.8463361],[0.01013321],1.5684798e-05
[0.855],[0.8476262],[0.00862434],1.5684798e-05
[1.443],[1.4197917],[0.01608334],1.5684798e-05
[0.855],[0.84529376],[0.01135235],1.5684798e-05
[0.855],[0.8493424],[0.00661709],1.5684798e-05
[1.443],[1.4216251],[0.01481277],1.5684798e-05
[1.443],[1.4210582],[0.01520567],1.5684798e-05
[0.855],[0.8498475],[0.00602634],1.5684798e-05
[0.855],[0.84552324],[0.01108395],1.5684798e-05
[0.855],[0.85074574],[0.00497577],1.5684798e-05
[1.443],[1.4222153],[0.01440375],1.5684798e-05
[0.855],[0.84710634],[0.00923238],1.5684798e-05
[0.855],[0.84736776],[0.00892661],1.5684798e-05
[1.443],[1.4193058],[0.01642007],1.5684798e-05
[1.443],[1.4211688],[0.01512901],1.5684798e-05
[1.443],[1.4222344],[0.01439054],1.5684798e-05
[0.855],[0.8495877],[0.00633022],1.5684798e-05
[1.443],[1.4202642],[0.01575587],1.5684798e-05
[0.855],[0.84898525],[0.00703481],1.5684798e-05
[1.443],[1.4188575],[0.01673077],1.5684798e-05
[0.855],[0.8470023],[0.00935403],1.5684798e-05
[0.855],[0.84695256],[0.00941224],1.5684798e-05
[0.855],[0.84885997],[0.00718135],1.5684798e-05
[1.443],[1.4211857],[0.01511727],1.5684798e-05
[1.443],[1.4197745],[0.01609524],1.5684798e-05
[0.855],[0.84780556],[0.00841457],1.5684798e-05
[1.443],[1.4201217],[0.01585467],1.5684798e-05
[0.855],[0.8519335],[0.0035866],1.5684798e-05
[0.855],[0.85049325],[0.00527107],1.5684798e-05
[1.443],[1.418597],[0.01691128],1.5684798e-05
[1.443],[1.4200108],[0.0159315],1.5684798e-05
[1.443],[1.4203033],[0.01572877],1.5684798e-05
[0.855],[0.8469524],[0.00941244],1.5684798e-05
[1.443],[1.420008],[0.01593348],1.5684798e-05
[1.443],[1.4210248],[0.0152288],1.5684798e-05
[1.443],[1.4202425],[0.0157709],1.5684798e-05
[1.443],[1.4210294],[0.01522558],1.5684798e-05
[0.855],[0.8430822],[0.01393898],1.5684798e-05
[1.443],[1.423965],[0.01319126],1.5684798e-05
[0.855],[0.84817225],[0.0079857],1.5684798e-05
[1.443],[1.4184834],[0.01699001],1.5684798e-05
[1.443],[1.4192307],[0.01647211],1.5684798e-05
[0.855],[0.8436986],[0.01321801],1.5684798e-05
[0.855],[0.8452746],[0.01137473],1.5684798e-05
[0.855],[0.84856087],[0.00753117],1.5684798e-05
[0.855],[0.8465267],[0.00991033],1.5684798e-05
[1.443],[1.4215945],[0.014834],1.5684798e-05
[1.443],[1.4228488],[0.01396475],1.5684798e-05
[0.855],[0.8489146],[0.00711742],1.5684798e-05
[0.855],[0.8473531],[0.00894376],1.5684798e-05
[0.855],[0.8455172],[0.01109099],1.5684798e-05
[0.855],[0.8454831],[0.01113087],1.5684798e-05
[1.443],[1.4212925],[0.01504325],1.5684798e-05
[1.443],[1.4215972],[0.0148321],1.5684798e-05
[1.443],[1.4229932],[0.01386471],1.5684798e-05
[1.443],[1.4228264],[0.01398028],1.5684798e-05
[1.443],[1.4206911],[0.01546003],1.5684798e-05
[1.443],[1.4210566],[0.01520674],1.5684798e-05
[0.855],[0.8450599],[0.0116259],1.5684798e-05
[0.855],[0.8477376],[0.00849404],1.5684798e-05
[0.855],[0.84800905],[0.00817657],1.5684798e-05
[0.855],[0.8470454],[0.00930362],1.5684798e-05
[1.443],[1.4207616],[0.01541121],1.5684798e-05
[1.443],[1.4199078],[0.01600288],1.5684798e-05
[0.855],[0.84804016],[0.00814018],1.5684798e-05
[1.443],[1.4201282],[0.01585013],1.5684798e-05
[1.443],[1.4168422],[0.01812733],1.5684798e-05
[1.443],[1.4246123],[0.01274267],1.5684798e-05
[0.855],[0.84666634],[0.009747],1.5684798e-05
[0.855],[0.84598356],[0.01054556],1.5684798e-05
[0.855],[0.8477101],[0.00852625],1.5684798e-05
[1.443],[1.419522],[0.01627021],1.5684798e-05
[0.855],[0.84513754],[0.01153507],1.5684798e-05
[1.443],[1.4213061],[0.01503384],1.5684798e-05
[1.443],[1.4193786],[0.01636959],1.5684798e-05
[1.443],[1.4188256],[0.01675283],1.5684798e-05
[0.855],[0.8492859],[0.00668318],1.5684798e-05
[0.855],[0.8446148],[0.01214645],1.5684798e-05
[1.443],[1.4197674],[0.01610019],1.5684798e-05
[1.443],[1.4212437],[0.01507713],1.5684798e-05
[0.855],[0.8467558],[0.00964236],1.5684798e-05
[1.443],[1.418501],[0.01697778],1.5684798e-05
[0.855],[0.8493511],[0.00660691],1.5684798e-05
[1.443],[1.4196259],[0.01619826],1.5684798e-05
[0.855],[0.8515133],[0.004078],1.5684798e-05
[0.855],[0.84572595],[0.01084686],1.5684798e-05
[0.855],[0.8482853],[0.00785345],1.5684798e-05
[1.443],[1.4212207],[0.01509307],1.5684798e-05
[0.855],[0.84408367],[0.01276766],1.5684798e-05
[1.443],[1.4203095],[0.01572447],1.5684798e-05
[0.855],[0.8482223],[0.00792714],1.5684798e-05
[1.443],[1.4206443],[0.0154925],1.5684798e-05
[1.443],[1.4226859],[0.01407768],1.5684798e-05
[0.855],[0.8444354],[0.01235629],1.5684798e-05
[0.855],[0.84706604],[0.0092795],1.5684798e-05
[1.443],[1.4189794],[0.01664626],1.5684798e-05
[0.855],[0.8480202],[0.00816354],1.5684798e-05
[0.855],[0.84718597],[0.00913924],1.5684798e-05
[0.855],[0.84588915],[0.01065599],1.5684798e-05
[1.443],[1.4200975],[0.01587144],1.5684798e-05
[1.443],[1.4201803],[0.01581402],1.5684798e-05
[0.855],[0.8446432],[0.01211327],1.5684798e-05
[0.855],[0.84323066],[0.01376533],1.5684798e-05
[0.855],[0.8493567],[0.00660036],1.5684798e-05
[0.855],[0.84781486],[0.0084037],1.5684798e-05
[1.443],[1.4190812],[0.01657571],1.5684798e-05
[0.855],[0.8470752],[0.00926877],1.5684798e-05
[1.443],[1.4189626],[0.01665791],1.5684798e-05
[1.443],[1.4250388],[0.01244709],1.5684798e-05
[0.855],[0.84790117],[0.00830275],1.5684798e-05
[1.443],[1.4228505],[0.0139636],1.5684798e-05
[0.855],[0.8473736],[0.00891978],1.5684798e-05
[0.855],[0.8457634],[0.01080308],1.5684798e-05
[0.855],[0.8457623],[0.01080433],1.5684798e-05
[0.855],[0.8478645],[0.00834563],1.5684798e-05
[1.443],[1.4247813],[0.01262553],1.5684798e-05
[0.855],[0.84804934],[0.00812945],1.5684798e-05
[1.443],[1.420113],[0.0158607],1.5684798e-05
[1.443],[1.4177127],[0.0175241],1.5684798e-05
[0.855],[0.84778136],[0.00844288],1.5684798e-05
[1.443],[1.4203061],[0.01572687],1.5684798e-05
[1.443],[1.4202412],[0.01577181],1.5684798e-05
[0.855],[0.84805495],[0.00812289],1.5684798e-05
[0.855],[0.8490811],[0.00692271],1.5684798e-05
[0.855],[0.8489911],[0.00702798],1.5684798e-05
[0.855],[0.84794873],[0.00824712],1.5684798e-05
[0.855],[0.8508722],[0.00482784],1.5684798e-05
[0.855],[0.8474683],[0.00880901],1.5684798e-05
[0.855],[0.8476992],[0.00853894],1.5684798e-05
[1.443],[1.4191873],[0.01650218],1.5684798e-05
[0.855],[0.84732854],[0.00897249],1.5684798e-05
[1.443],[1.4213686],[0.01499055],1.5684798e-05
[0.855],[0.8487828],[0.00727163],1.5684798e-05
[1.443],[1.4185263],[0.01696027],1.5684798e-05
[0.855],[0.8471592],[0.00917054],1.5684798e-05
[0.855],[0.8469845],[0.00937487],1.5684798e-05
[1.443],[1.4214213],[0.01495403],1.5684798e-05
[0.855],[0.8505727],[0.00517814],1.5684798e-05
[0.855],[0.8485894],[0.00749778],1.5684798e-05
[0.855],[0.8458126],[0.0107455],1.5684798e-05
[1.443],[1.4217405],[0.0147328],1.5684798e-05
[0.855],[0.8478418],[0.00837219],1.5684798e-05
[1.443],[1.4197298],[0.01612622],1.5684798e-05
[0.855],[0.8473974],[0.00889197],1.5684798e-05
[0.855],[0.84707505],[0.00926897],1.5684798e-05
[0.855],[0.8483475],[0.00778074],1.5684798e-05
[1.443],[1.4214158],[0.01495783],1.5684798e-05
[0.855],[0.8505929],[0.00515451],1.5684798e-05
[1.443],[1.4224246],[0.01425877],1.5684798e-05
[1.443],[1.4244784],[0.01283545],1.5684798e-05
[0.855],[0.8474631],[0.00881514],1.5684798e-05
[1.443],[1.4207648],[0.01540898],1.5684798e-05
[0.855],[0.84854764],[0.00754665],1.5684798e-05
